klo	k	kup	kwlo	kw	kwup
j4_j5	0.0391038426225833	0.155761924862811	0.272420007103039	0.242997835838757	0.414433424773159	0.585869013707561
j4_j6	0.117635027772119	0.241135679706921	0.364636331641724	0.4392854392619	0.563473336479471	0.687661233697042
j4_j7	0.0338891454724781	0.166894291177274	0.29989943688207	0.433029489172132	0.552932761087267	0.672836033002403
j4_j8	0.0877115475961194	0.229011993146773	0.370312438697427	0.532606888633659	0.653202774377805	0.773798660121952
j4_j9	0.0107885520862146	0.134141467963234	0.257494383840254	0.253427420309322	0.40540125824766	0.557375096185997
j4_j10	0.0217587909598223	0.137931034482759	0.254103278005695	0.341345045610833	0.489985163204748	0.638625280798663
j4_j11	-0.0803157718338926	0.00864260294865277	0.0976009777311981	0.099851779159553	0.212786259541984	0.325720739924415
j4_j12	-0.0974292226868347	0.00281257990283812	0.103054382492511	0.0627651367047433	0.212993971868721	0.363222807032698
j4_j13	0.0543721464851401	0.155254063739921	0.256135980994701	0.0267284734085406	0.159184294627911	0.291640115847281
j4_j14	0.0751798858914329	0.212271973466003	0.349364061040574	0.426411748770989	0.561586638830898	0.696761528890807
j4_j15	0.120539811306174	0.263560402209319	0.406580993112463	0.446650807033723	0.586860137041515	0.727069467049307
j4_j16	-0.000201494489593446	0.12280701754386	0.245815529577313	0.414320845871071	0.555415843362673	0.696510840854274
j4_j17	0.0269180612481561	0.144827586206897	0.262737111165637	0.168746525423851	0.347417840375586	0.526089155327321
j4_j18	-0.0483569455249502	0.0519529768676526	0.152262899260255	0.331501991750837	0.441142266442693	0.550782541134548
j4_j19	0.104106602742193	0.231929776436703	0.359752950131212	0.290961420809744	0.457810911555405	0.624660402301065
j4_j20	0.0184806545719135	0.147330164942689	0.276179675313465	0.393481263759899	0.527013848254339	0.660546432748779
j4_j21	0.00146509169837508	0.120603015075377	0.239740938452379	0.251401315785179	0.428676741614449	0.605952167443718
j4_j22	0.134594706856179	0.26955027212833	0.404505837400481	0.535393445467879	0.638512738122561	0.741632030777242
j4_j23	-0.0339400845886936	0.0753331520261082	0.18460638864091	0.151447473858588	0.31864064602961	0.485833818200631
j4_j24	-0.069225338050749	0.0455413144259613	0.160307966902671	0.118858933264901	0.27723530538005	0.435611677495199
j4_j25	0.0391941727124768	0.14931437277806	0.259434572843643	0.299270853903602	0.434304288036004	0.569337722168406
klo	k	kup	kwlo	kw	kwup
j5_j1	0.0108725730444066	0.120042027843446	0.229211482642486	0.318984820988107	0.458623356535189	0.598261892082272
j5_j2	0.158163149029118	0.282845668387837	0.407528187746556	0.396300750153216	0.548393718567176	0.700486686981135
j5_j3	0.314051760996017	0.449035812672176	0.584019864348336	0.529923133094365	0.658299382310422	0.786675631526478
j5_j4	0.0391038426225833	0.155761924862811	0.272420007103039	0.242997835838757	0.414433424773159	0.585869013707561
j5_j6	-0.0508372457896208	0.0612846989405927	0.173406643670806	0.319155533857293	0.461546276541704	0.603937019226115
j5_j7	0.0518179181854105	0.155672823218997	0.259527728252584	0.451307893177027	0.561651583710407	0.671995274243787
j5_j8	-0.0697693190870052	0.0377911030539673	0.14535152519494	0.348410635191461	0.477946916471506	0.607483197751552
j5_j9	-0.022152766418341	0.0783410138248848	0.178834794068111	0.312679154857003	0.454529196101225	0.596379237345447
j5_j10	-0.0770288336695457	0.00324246427284734	0.0835137622152404	0.313545774375513	0.431729111145947	0.549912447916381
j5_j11	-0.069528687484325	0.0507225843015018	0.170973856087329	0.17451394824366	0.314430244941427	0.454346541639193
j5_j12	-0.0661944923112136	0.0407673860911271	0.147729264493468	0.214340138210069	0.36317489616982	0.51200965412957
j5_j13	0.0208567241268685	0.142489638416464	0.26412255270606	0.142941139170205	0.298806741296592	0.45467234342298
j5_j14	-0.0209410726715707	0.0911557243624525	0.203252521396476	0.442122901858574	0.543501611170784	0.644880320482994
j5_j15	0.133164375795841	0.266357239107651	0.399550102419461	0.494906332899978	0.620954967187146	0.747003601474315
j5_j16	-0.08425465920249	0.0037359900373599	0.0917266392772098	0.430294106663508	0.535198174596468	0.640102242529428
j5_j17	0.146618113704144	0.285487456335345	0.424356798966545	0.577753580492474	0.683168316831683	0.788583053170892
j5_j18	0.0151677897799731	0.134734239802225	0.254300689824477	0.253826744625037	0.395770392749244	0.537714040873452
j5_j19	0.0258997301705039	0.144555603885747	0.263211477600991	0.458514251556121	0.572076716848834	0.685639182141547
j5_j20	0.0963575585752491	0.217081850533808	0.337806142492367	0.436849837125439	0.564894407301284	0.692938977477129
j5_j21	-0.00860057594055399	0.0865911582024114	0.181782892345377	0.266574997046762	0.406633134234518	0.546691271422273
j5_j22	0.133053109518431	0.25517652316401	0.377299936809589	0.435315378981094	0.559156439890384	0.682997500799674
j5_j23	0.182824885350813	0.320568252007412	0.458311618664011	0.464234958639608	0.603831598864712	0.743428239089815
j5_j24	0.111113446195627	0.247667770087271	0.384222093978914	0.370491720880459	0.518040901393774	0.665590081907088
j5_j25	0.0042747733417061	0.111575646720669	0.218876520099632	0.413176820535585	0.533937801881196	0.654698783226808
klo	k	kup	kwlo	kw	kwup
j6_j1	0.0217551381937243	0.130434782608696	0.239114427023667	0.304298589153179	0.445964888859222	0.587631188565264
j6_j2	0.101267746579253	0.230066553569098	0.358865360558943	0.493062297919209	0.6237949682577	0.754527638596192
j6_j3	0.0409652771521103	0.151643690349947	0.262322103547784	0.39596175826689	0.557313742111708	0.718665725956525
j6_j4	0.117635027772119	0.241135679706921	0.364636331641724	0.4392854392619	0.563473336479471	0.687661233697042
j6_j5	-0.0508372457896208	0.0612846989405927	0.173406643670806	0.319155533857293	0.461546276541704	0.603937019226115
